rank,country,population,rank.innovation,rank.tax_burden,rank.monetary_freedom,pct.gdp_growth,gdp_per_capita,pct.trade_balance.gdp,gdp.billions
64,Panama,3800000,55,146,75,0.049,13700,-0.057,55
65,Kazakhstan,18600000,83,47,105,0.011,7500,-0.064,134
66,China,1379300096,28,105,119,0.067,8100,0.017,11230
67,Jordan,10200000,46,83,6,0.02,4100,-0.093,39
68,Montenegro,600000,90,63,46,0.025,6700,-0.189,4
69,Serbia,7100000,94,72,56,0.028,5300,-0.04,38
70,Azerbaijan,10000000,33,35,109,-0.031,3900,-0.036,38
71,Albania,3000000,86,101,50,0.034,4100,-0.076,12
72,Jamaica,3000000,64,99,70,0.013,4900,-0.022,14
73,Kuwait,2900000,102,6,108,0.025,38600,-0.045,111
74,Brazil,207400000,84,150,140,-0.036,8600,-0.013,1799
75,Trinidad and Tobago,1200000,101,131,95,-0.054,15400,-0.113,21
76,Botswana,2200000,89,44,82,0.043,6800,0.117,16
77,Sri Lanka,22400000,54,128,93,0.044,3800,-0.024,81
78,Vietnam,96200000,71,75,92,0.062,2200,0.041,201
79,Rwanda,11900000,44,31,66,0.059,700,-0.144,8
80,Ukraine,44000000,61,41,152,0.023,2200,-0.041,93
81,Argentina,44300000,72,136,151,-0.022,12400,-0.027,545
82,Seychelles,100000,104,29,78,0.045,15100,-0.184,1
83,Philippines,104300000,65,88,61,0.069,3000,0.002,305
84,Mongolia,3100000,100,57,114,0.01,3700,-0.063,11
85,Ghana,27500000,57,95,144,0.035,1500,-0.067,43
86,Namibia,2500000,78,70,87,0.011,4100,-0.14,11
87,Moldova,3500000,127,32,117,0.043,1900,-0.038,7
88,Armenia,3000000,70,76,113,0.002,3600,-0.023,11
89,Senegal,14700000,51,144,11,0.067,1000,-0.053,15
90,Cape Verde,600000,97,67,7,0.038,3000,NA,2
91,Kenya,47600000,37,80,106,0.058,1500,-0.052,71
92,El Salvador,6200000,129,56,72,0.024,4200,-0.02,27
93,Dominican Republic,10700000,119,120,89,0.066,6700,-0.015,72
94,Guatemala,15500000,87,85,71,0.031,4100,0.01,68
95,Zambia,16000000,91,15,125,0.034,1200,-0.044,21
96,Tunisia,11400000,98,114,94,0.01,3700,-0.09,42
97,Bosnia and Herzegovina,3900000,122,111,33,0.02,4700,-0.045,17
98,Lebanon,6200000,58,92,77,0.01,7900,-0.186,50
99,Uzbekistan,29700000,NA,69,146,0.078,2100,0.007,67
100,Iran,82000000,66,121,149,0.125,4900,0.041,404
101,Egypt,97000000,108,135,132,0.043,3500,-0.06,332
102,Pakistan,204900000,60,139,102,0.045,1500,-0.017,279
103,Bhutan,800000,79,17,138,0.062,2800,-0.291,2
104,Ecuador,16299999,110,117,137,-0.015,6000,0.014,98
105,Uganda,39600000,74,73,63,0.023,600,-0.043,25
106,Benin,11000000,99,141,19,0.04,800,-0.072,9
107,Papua New Guinea,6900000,NA,79,129,0.024,3000,0.201,20
108,Tajikistan,8500000,47,107,130,0.069,800,-0.038,7
109,Nepal,29400000,120,118,115,0.004,700,0.063,21
110,Burkina Faso,20100000,NA,124,29,0.059,600,-0.068,12
111,Belize,400000,NA,45,69,-0.008,4800,-0.094,2
112,Paraguay,6900000,126,103,79,0.041,4100,0.017,27
113,Guyana,700000,NA,100,68,0.033,4500,0.004,3
114,Tanzania,54000000,81,125,131,0.07,900,-0.056,48
115,Nigeria,190600000,111,138,121,-0.016,2200,0.007,405
116,Honduras,9000000,107,132,86,0.036,2400,-0.038,21
117,Bangladesh,157800000,113,123,135,0.072,1400,0.006,228
118,Niger,19200000,NA,130,37,0.05,400,-0.155,7
119,Cote d'Ivoire,24200000,NA,142,111,0.077,1500,NA,36
120,Cambodia,16200001,109,110,54,0.07,1300,-0.088,20
121,Madagascar,25100000,96,106,110,0.042,400,0.008,10
122,Timor-Leste,1300000,NA,113,84,0.05,2100,-0.193,3
123,Kyrgyzstan,5800000,125,122,136,0.038,1100,-0.097,7
124,Algeria,41000000,103,127,139,0.033,3800,-0.165,159
125,Lesotho,2000000,114,90,91,0.024,1000,-0.077,2
126,Mali,17900000,88,134,44,0.058,800,-0.071,14
127,Mozambique,26600000,116,96,67,0.038,400,-0.382,11
128,Swaziland,1500000,134,58,98,0,2800,0.007,4
129,Angola,29300000,NA,87,126,-0.007,3100,-0.051,95
130,Gabon,1800000,NA,133,42,0.021,7200,-0.102,14
131,Sierra Leone,6200000,124,74,124,0.061,500,-0.197,4
132,Myanmar,55100000,NA,101,143,0.061,1300,-0.013,303
133,Cameroon,25000000,77,149,65,0.047,1000,-0.036,29
134,Nicaragua,6000000,132,129,122,0.047,2200,-0.086,13
135,Suriname,600000,NA,86,100,-0.105,6500,-0.028,4
136,Malawi,19200000,123,109,150,0.023,300,-0.135,5
137,Bolivia,11100000,NA,151,141,0.043,3100,-0.057,34
138,Ethiopia,105400000,85,108,142,0.08,700,-0.099,73
139,Liberia,4700000,118,62,118,-0.016,500,-0.248,2
140,Laos,7100000,80,126,127,0.07,2400,-0.106,16
141,Democratic Republic of the Congo,83300000,115,147,74,0.024,400,-0.034,39
142,Mauritania,3800000,135,145,48,0.017,1100,-0.15,5
143,Togo,8000000,NA,140,85,0.05,600,-0.097,4
144,Venezuela,31300000,130,153,153,-0.165,7600,-0.016,236
145,Zimbabwe,13800000,131,116,90,0.007,1000,-0.041,16
146,Burundi,11500000,121,112,99,-0.01,300,-0.131,3
147,Guinea,12400000,48,148,123,0.066,500,-0.319,8
148,Yemen,28000000,133,71,147,-0.098,1000,-0.056,27
149,Libya,6700000,NA,104,134,-0.03,3100,-0.224,20
150,Afghanistan,34100000,NA,143,133,0.024,600,0.071,19
151,Haiti,10600000,136,119,107,0.014,700,-0.009,8
152,Gambia,2100000,106,136,145,0.022,500,-0.089,1
153,Chad,12100000,128,152,103,-0.064,700,-0.092,10
